component,count
1614907703393,1
1623497637946,1
1623497637994,1
1623497638038,1
1623497637933,1
1632087572555,1
1632087572589,1
1632087572585,1
1632087572491,1
1632087572560,1
1640677507153,1
1640677507131,1
1640677507167,1
1640677507187,1
1640677507157,1
1640677507145,1
1640677507099,1
1649267441710,1
1649267441747,1
1649267441753,1
1649267441769,1
1657857376315,1
1657857376343,1
1657857376352,1
1666447310938,1
1666447310974,1
1666447310872,1
1666447310880,1
1666447310910,1
1666447310919,1
1666447310912,1
1666447310956,1
1666447310967,1
1666447310986,1
1666447310972,1
1666447310884,1
1675037245477,1
1675037245483,1
1675037245559,1
1683627180060,1
1683627180047,1
1683627180033,1
1683627180044,1
1683627180135,1
1692217114705,1
1692217114718,1
1692217114679,1
1692217114745,1
1692217114640,1
1692217114708,1
1692217114627,1
1692217114727,1
1700807049317,1
1700807049240,1
1700807049325,1
1700807049262,1
1709396983897,1
1709396983943,1
1709396983861,1
